figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_4/filtered_qc_violins.pdf	MPNST_4	post-filter_QC	filtered_qc_violins	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_violins.png	MPNST_4	post-filter_QC	filtered_qc_violins	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_density.pdf	MPNST_4	post-filter_QC	filtered_qc_density	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_density.png	MPNST_4	post-filter_QC	filtered_qc_density	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_histograms.pdf	MPNST_4	post-filter_QC	filtered_qc_histograms	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_histograms.png	MPNST_4	post-filter_QC	filtered_qc_histograms	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_scatter.pdf	MPNST_4	post-filter_QC	filtered_qc_scatter	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtered_qc_scatter.png	MPNST_4	post-filter_QC	filtered_qc_scatter	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtering_summary.pdf	MPNST_4	post-filter_QC	filtering_summary	w=8;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/filtering_summary.png	MPNST_4	post-filter_QC	filtering_summary	w=8;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/doublet_summary.pdf	MPNST_4	post-filter_QC	doublet_summary	w=9;h=5	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_4/doublet_summary.png	MPNST_4	post-filter_QC	doublet_summary	w=9;h=5	f32811cf69595dcab9c5f5067efccbaa	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
